,id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
61,61,detroit metro,2003,mazda,4,4,gas,229610,clean,manual,fwd,compact,sedan,black,mi,4364.0
62,62,knoxville,1994,bmw,2,8,gas,67264,clean,automatic,rwd,full-size,sedan,white,tn,16145.0
63,63,richmond,2015,audi,2,4,gas,151032,clean,automatic,fwd,mid-size,sedan,silver,va,9561.0
64,64,detroit metro,1998,ford,4,8,gas,192165,clean,automatic,rwd,full-size,sedan,brown,mi,6507.0
65,65,rhode island,2009,buick,2,4,gas,76724,clean,automatic,4wd,mid-size,SUV,green,ri,8359.0
66,66,harrisonburg,2007,ford,4,4,,327467,clean,automatic,fwd,mid-size,SUV,silver,va,6207.0
67,67,"washington, DC",2008,ram,2,6,diesel,111940,clean,other,fwd,full-size,truck,red,dc,8216.0
68,68,reading,2013,lincoln,2,4,gas,166614,clean,automatic,fwd,full-size,sedan,blue,pa,9778.0
69,69,colorado springs,1999,chevrolet,3,8,gas,160687,clean,automatic,4wd,full-size,SUV,black,co,13087.0
70,70,rockford,2016,subaru,2,4,gas,118734,clean,automatic,fwd,mid-size,SUV,blue,il,26359.0
71,71,northern michigan,2013,ford,3,1,gas,150309,clean,automatic,rwd,full-size,truck,black,mi,11384.0
72,72,bend,2002,honda,3,4,gas,198472,clean,automatic,fwd,compact,hatchback,blue,or,4081.0
73,73,pueblo,2013,kia,2,4,gas,137182,clean,automatic,fwd,compact,hatchback,silver,co,7564.0
74,74,houston,1989,jeep,2,8,gas,109376,clean,manual,4wd,full-size,SUV,white,tx,7366.0
75,75,albany,2012,ford,3,8,gas,126666,clean,automatic,4wd,full-size,pickup,blue,,17869.0
76,76,killeen / temple / ft hood,2016,jeep,1,6,gas,61659,parts only,automatic,4wd,mid-size,SUV,blue,tx,39321.0
77,77,stockton,2008,bmw,2,4,gas,121863,clean,automatic,fwd,full-size,sedan,black,ca,5114.0
78,78,cleveland,2012,bmw,2,6,gas,114965,clean,automatic,rwd,mid-size,coupe,black,oh,12874.0
79,79,south jersey,2016,bmw,2,6,gas,102584,rebuilt,automatic,fwd,mid-size,sedan,blue,nj,36691.0
80,80,salt lake city,2010,buick,2,6,gas,131694,clean,automatic,fwd,mid-size,SUV,white,ut,5172.0
81,81,des moines,2014,chevrolet,2,4,gas,112367,rebuilt,automatic,fwd,mid-size,sedan,black,ia,17022.0
82,82,rhode island,2011,toyota,4,4,gas,188249,clean,automatic,fwd,mid-size,SUV,blue,ri,2154.0
83,83,rochester,2012,ram,2,8,gas,134571,clean,automatic,4wd,full-size,truck,silver,ny,25896.0
84,84,atlanta,2003,ford,3,4,gas,145781,clean,automatic,fwd,full-size,coupe,black,ga,5850.0
85,85,rochester,2012,dodge,1,6,gas,88404,clean,automatic,4wd,mid-size,SUV,white,ny,14905.0
86,86,syracuse,1995,ram,3,8,diesel,167305,clean,automatic,4wd,full-size,truck,white,ny,7577.0
87,87,wilmington,2003,ford,4,6,gas,146322,clean,automatic,4wd,full-size,SUV,silver,de,11059.0
88,88,baltimore,2012,lexus,2,6,gas,180681,clean,automatic,fwd,mid-size,SUV,silver,md,3492.0
89,89,sarasota-bradenton,1997,mercedes-benz,4,1,gas,145446,clean,automatic,rwd,compact,coupe,red,fl,16507.0
90,90,"kansas city, MO",2012,dodge,2,6,gas,109028,rebuilt,automatic,fwd,mid-size,sedan,blue,mo,8886.0
91,91,columbus,2009,toyota,3,4,gas,227871,clean,automatic,fwd,mid-size,wagon,green,oh,7572.0
92,92,central NJ,2005,honda,2,4,gas,121319,clean,manual,fwd,compact,sedan,blue,nj,3098.0
93,93,boston,2006,hyundai,3,4,gas,219844,clean,manual,fwd,full-size,sedan,silver,ma,2276.0
94,94,albany,2007,ford,2,8,gas,147568,clean,automatic,rwd,full-size,truck,brown,ny,5740.0
95,95,orange county,2016,ford,3,6,gas,37991,clean,automatic,rwd,full-size,van,white,ca,30566.0
96,96,santa maria,2010,ram,2,6,gas,88676,clean,automatic,4wd,full-size,pickup,black,ca,24123.0
97,97,prescott,2016,bmw,1,4,gas,85737,clean,manual,fwd,compact,convertible,red,az,7817.0
98,98,"washington, DC",2001,ford,4,6,gas,173499,clean,automatic,fwd,full-size,SUV,silver,dc,3063.0
99,99,bowling green,2006,ford,2,4,gas,108928,clean,manual,rwd,full-size,van,red,ky,5836.0
100,100,jacksonville,2011,bmw,2,6,gas,108774,clean,automatic,4wd,mid-size,SUV,red,fl,8563.0
101,101,tucson,2009,toyota,4,6,gas,220385,clean,automatic,fwd,full-size,SUV,green,,7426.0
102,102,greensboro,2013,ford,2,8,gas,53292,rebuilt,automatic,4wd,mid-size,SUV,blue,nc,42154.0
103,103,san diego,2019,nissan,2,4,gas,138595,clean,automatic,fwd,full-size,SUV,black,,10601.0
104,104,tucson,2010,ford,2,4,gas,24949,clean,automatic,4wd,mid-size,SUV,black,az,21529.0
105,105,baltimore,2015,jeep,4,6,gas,138419,clean,automatic,fwd,full-size,SUV,white,md,4440.0
106,106,detroit metro,2013,honda,2,6,gas,28173,rebuilt,automatic,fwd,full-size,sedan,black,mi,10979.0
107,107,corpus christi,1995,ford,3,8,gas,115452,clean,manual,fwd,mid-size,coupe,blue,tx,5852.0
108,108,chicago,2010,bmw,2,6,gas,158058,clean,manual,4wd,compact,SUV,silver,il,8725.0
109,109,charlotte,1990,ram,4,8,gas,135456,clean,automatic,fwd,full-size,pickup,blue,nc,5284.0
110,110,central NJ,1997,ford,3,8,gas,92758,clean,manual,rwd,full-size,coupe,white,nj,23657.0
111,111,central NJ,2011,chevrolet,3,8,gas,81336,rebuilt,manual,rwd,mid-size,sedan,white,nj,8386.0
112,112,anchorage / mat-su,2002,ford,3,8,diesel,243694,clean,automatic,4wd,full-size,truck,silver,ak,13881.0
113,113,st cloud,1998,toyota,3,6,gas,214411,clean,automatic,fwd,mid-size,SUV,silver,mn,2336.0
114,114,tulsa,2014,ford,2,6,diesel,107947,clean,manual,4wd,full-size,pickup,black,ok,18710.0
115,115,rhode island,2012,toyota,2,6,gas,82367,clean,automatic,fwd,compact,sedan,white,,7294.0
116,116,rhode island,2010,gmc,2,6,gas,147162,clean,automatic,4wd,full-size,SUV,silver,ri,8935.0
117,117,madison,2014,honda,3,4,gas,150213,clean,automatic,fwd,mid-size,SUV,blue,wi,11467.0
118,118,indianapolis,2011,bmw,2,6,gas,122781,clean,automatic,4wd,full-size,SUV,blue,in,14478.0
119,119,boise,2005,chevrolet,2,6,gas,136071,rebuilt,automatic,4wd,mid-size,pickup,silver,id,8120.0
120,120,long island,2007,chevrolet,2,4,gas,36953,clean,automatic,4wd,full-size,SUV,black,,25010.0
121,121,baltimore,2004,ford,1,8,,214678,clean,automatic,fwd,full-size,van,grey,md,1533.0
122,122,bakersfield,2013,mitsubishi,2,4,gas,151408,clean,other,fwd,full-size,SUV,green,ca,3247.0
123,123,central NJ,1983,chevrolet,4,8,gas,18207,clean,automatic,rwd,full-size,truck,black,nj,29532.0
124,124,vermont,1996,chevrolet,3,8,gas,178183,clean,automatic,rwd,sub-compact,truck,black,,3288.0
125,125,orange county,2014,ford,2,6,gas,121382,salvage,automatic,4wd,compact,offroad,black,ca,17791.0
126,126,flagstaff / sedona,2010,toyota,5,4,gas,209187,clean,manual,fwd,compact,sedan,green,az,1161.0
127,127,central NJ,1982,ram,2,8,,151312,clean,automatic,4wd,full-size,truck,grey,nj,22234.0
128,128,high rockies,2013,ford,2,4,gas,79889,clean,automatic,rwd,mid-size,SUV,silver,co,50072.0
129,129,la crosse,2012,ford,3,8,gas,75510,clean,automatic,fwd,full-size,truck,white,wi,6278.0
130,130,orlando,1994,chevrolet,2,6,gas,150367,clean,manual,fwd,full-size,sedan,blue,fl,6008.0
131,131,worcester / central MA,2014,bmw,2,6,gas,60298,rebuilt,automatic,rwd,mid-size,SUV,black,ma,32528.0
132,132,los angeles,2015,audi,2,4,gas,148248,rebuilt,manual,fwd,mid-size,SUV,black,ca,12681.0
133,133,baltimore,2014,ford,2,4,gas,72493,clean,automatic,fwd,full-size,SUV,black,md,24342.0
134,134,western massachusetts,2017,jeep,2,6,gas,16219,clean,manual,4wd,full-size,SUV,blue,ma,18140.0
135,135,tucson,2016,ram,2,1,,76158,clean,manual,4wd,full-size,truck,black,az,21581.0
136,136,syracuse,2019,chevrolet,2,4,gas,127850,clean,automatic,4wd,full-size,truck,white,ny,17793.0
137,137,central NJ,2013,ford,2,6,gas,102353,clean,automatic,fwd,mid-size,sedan,black,nj,7533.0
138,138,pittsburgh,2014,chevrolet,2,6,diesel,119266,clean,automatic,4wd,full-size,pickup,black,,13083.0
139,139,klamath falls,2009,bmw,2,6,gas,140728,clean,manual,rwd,mid-size,convertible,silver,or,10849.0
140,140,florence / muscle shoals,2010,toyota,4,4,gas,173036,,automatic,fwd,mid-size,,black,al,3255.0
141,141,rhode island,2019,jeep,1,6,gas,106009,clean,automatic,4wd,full-size,SUV,silver,ri,20732.0
142,142,milwaukee,2008,chevrolet,2,8,gas,153913,clean,automatic,rwd,full-size,SUV,silver,wi,3226.0
143,143,chattanooga,2004,chrysler,2,6,,115687,clean,manual,fwd,full-size,mini-van,brown,tn,4933.0
144,144,orange county,2006,toyota,3,6,gas,101613,clean,automatic,fwd,full-size,coupe,white,ca,5494.0
145,145,las vegas,2014,toyota,2,6,gas,37571,clean,manual,fwd,mid-size,SUV,black,nv,29437.0
146,146,huntsville / decatur,2012,toyota,3,4,gas,133359,clean,automatic,fwd,full-size,SUV,black,al,5735.0
147,147,humboldt county,2014,ford,2,8,gas,16521,clean,automatic,4wd,mid-size,truck,black,ca,18419.0
148,148,western massachusetts,2002,ford,4,6,gas,157889,,manual,fwd,full-size,,silver,ma,5568.0
149,149,medford-ashland,2008,ram,2,6,gas,107943,clean,automatic,4wd,full-size,truck,grey,or,36197.0
150,150,des moines,2002,nissan,3,6,gas,182165,clean,automatic,fwd,mid-size,SUV,blue,ia,5339.0
151,151,new york city,2014,mitsubishi,2,4,gas,118635,rebuilt,automatic,fwd,mid-size,sedan,red,ny,6472.0
152,152,rochester,2018,jeep,4,6,gas,7299,clean,manual,4wd,mid-size,SUV,black,ny,18664.0
153,153,northwest CT,2013,chevrolet,2,4,gas,104338,clean,automatic,4wd,full-size,sedan,green,ct,6168.0
154,154,madison,2017,bmw,1,6,diesel,10566,clean,automatic,4wd,full-size,SUV,black,wi,37070.0
155,155,northwest CT,1975,chevrolet,2,6,gas,29232,clean,manual,rwd,full-size,coupe,white,,28109.0
156,156,wyoming,2008,toyota,0,6,gas,174860,clean,manual,fwd,full-size,truck,silver,wy,22855.0
157,157,youngstown,2015,mazda,2,6,gas,111849,clean,automatic,fwd,compact,sedan,blue,oh,8146.0
158,158,western slope,2013,bmw,1,6,gas,95864,clean,automatic,fwd,full-size,SUV,silver,co,7197.0
159,159,bismarck,1987,ford,4,8,gas,184379,clean,manual,rwd,full-size,coupe,green,nd,3559.0
160,160,maine,2009,jeep,2,6,gas,99959,clean,automatic,4wd,compact,SUV,white,me,8589.0
161,161,albany,2013,ford,2,6,gas,65428,clean,automatic,fwd,mid-size,SUV,black,ny,21725.0
162,162,orange county,2014,volkswagen,1,4,gas,98187,clean,automatic,fwd,compact,sedan,white,ca,7000.0
163,163,sarasota-bradenton,2013,honda,1,4,gas,112474,clean,automatic,fwd,compact,sedan,black,fl,13342.0
164,164,fargo / moorhead,1999,ford,1,6,gas,165983,clean,manual,rwd,full-size,truck,black,mn,4653.0
165,165,rochester,2016,honda,1,6,gas,73174,clean,automatic,fwd,full-size,SUV,blue,ny,20326.0
166,166,south jersey,2007,ford,1,4,gas,338606,clean,manual,4wd,mid-size,SUV,green,nj,3984.0
167,167,omaha / council bluffs,2011,jeep,2,6,gas,128012,clean,automatic,4wd,mid-size,pickup,black,ia,16450.0
168,168,tucson,2012,hyundai,2,6,gas,93823,clean,automatic,fwd,full-size,sedan,black,az,8708.0
169,169,flagstaff / sedona,1992,ford,3,8,gas,102829,clean,manual,rwd,full-size,pickup,black,az,14371.0
170,170,jacksonville,2012,ford,2,4,gas,128149,rebuilt,automatic,fwd,mid-size,SUV,white,fl,10945.0
171,171,winston-salem,2002,volkswagen,3,4,gas,202170,clean,manual,fwd,full-size,coupe,silver,nc,5026.0
172,172,eugene,2006,hyundai,2,6,gas,245344,rebuilt,automatic,4wd,full-size,SUV,black,or,6381.0
173,173,las vegas,2013,bmw,2,6,gas,104113,clean,automatic,rwd,mid-size,coupe,silver,nv,14364.0
174,174,jersey shore,2011,volkswagen,2,4,gas,95662,clean,automatic,fwd,mid-size,sedan,silver,nj,4709.0
175,175,colorado springs,2015,kia,3,4,gas,169314,clean,automatic,fwd,mid-size,SUV,silver,co,5456.0
176,176,flint,1990,gmc,4,6,gas,166080,clean,manual,4wd,full-size,truck,green,mi,1395.0
177,177,little rock,1987,ford,4,8,gas,82758,clean,manual,rwd,full-size,truck,red,ar,13194.0
178,178,rochester,2016,jeep,1,6,diesel,101848,clean,automatic,4wd,full-size,SUV,black,,27672.0
179,179,oklahoma city,2012,honda,3,6,gas,41822,clean,automatic,rwd,full-size,sedan,white,ok,16498.0
180,180,baltimore,2014,hyundai,2,4,gas,122429,clean,automatic,fwd,full-size,sedan,black,md,5004.0
181,181,pittsburgh,2012,chevrolet,2,8,diesel,96456,clean,automatic,4wd,full-size,truck,white,pa,32445.0
182,182,philadelphia,2012,volkswagen,2,4,gas,98282,clean,automatic,fwd,compact,sedan,black,pa,5773.0
183,183,knoxville,2010,bmw,1,6,gas,85266,clean,automatic,fwd,mid-size,sedan,blue,tn,16234.0
184,184,boulder,1988,bmw,2,6,gas,140386,clean,manual,rwd,mid-size,convertible,silver,co,5397.0
185,185,rockford,2010,buick,2,4,gas,153694,clean,automatic,4wd,mid-size,SUV,red,il,26882.0
186,186,knoxville,2011,ford,2,8,diesel,127365,clean,automatic,4wd,full-size,SUV,black,tn,6462.0
187,187,beaumont / port arthur,2011,ford,2,6,gas,141429,rebuilt,automatic,4wd,full-size,truck,black,tx,22982.0
188,188,hawaii,2014,volkswagen,2,4,gas,74390,clean,automatic,fwd,compact,sedan,silver,hi,18075.0
189,189,colorado springs,2009,nissan,2,4,gas,172978,clean,automatic,4wd,mid-size,SUV,silver,co,26809.0
190,190,albany,2015,chevrolet,3,4,gas,44747,clean,automatic,fwd,full-size,SUV,black,,7534.0
191,191,winchester,1953,dodge,3,4,gas,55057,clean,automatic,fwd,compact,coupe,purple,va,1043.0
192,192,tucson,2001,ford,2,8,gas,81849,clean,automatic,rwd,full-size,SUV,green,,4701.0
193,193,reno / tahoe,2014,jeep,2,6,gas,103068,clean,automatic,4wd,full-size,SUV,black,ca,20640.0
194,194,duluth / superior,2010,bmw,2,8,gas,170409,clean,other,4wd,full-size,SUV,blue,mn,22648.0
195,195,milwaukee,2013,nissan,2,6,gas,109280,clean,automatic,fwd,mid-size,sedan,blue,wi,11018.0
196,196,south florida,1978,bmw,3,8,gas,127175,clean,other,rwd,full-size,coupe,black,fl,6201.0
197,197,rhode island,2016,mazda,3,4,gas,306841,clean,automatic,fwd,mid-size,sedan,green,ri,4208.0
198,198,anchorage / mat-su,2013,ford,2,6,gas,81311,clean,automatic,fwd,mid-size,sedan,custom,ak,8701.0
199,199,knoxville,2013,chevrolet,2,4,gas,159795,clean,automatic,fwd,compact,SUV,black,tn,21257.0
200,200,richmond,2011,hyundai,1,4,gas,96398,clean,automatic,fwd,sub-compact,sedan,black,va,4005.0
201,201,bakersfield,2015,gmc,3,8,gas,18919,clean,automatic,4wd,full-size,truck,black,,35433.0
202,202,las vegas,1990,bmw,2,6,gas,85348,clean,automatic,rwd,full-size,coupe,black,nv,5090.0
203,203,corpus christi,2013,jeep,2,6,gas,132374,clean,automatic,4wd,mid-size,truck,black,tx,27039.0
204,204,new haven,1998,buick,2,6,gas,176884,clean,automatic,fwd,full-size,sedan,green,ct,3482.0
205,205,jackson,2001,ford,2,8,gas,86705,clean,automatic,4wd,full-size,truck,black,tn,12049.0
206,206,dayton / springfield,1984,chevrolet,3,4,gas,99730,clean,automatic,fwd,full-size,coupe,blue,oh,14722.0
207,207,san luis obispo,2019,ford,3,4,gas,25710,clean,automatic,fwd,compact,hatchback,white,ca,12713.0
208,208,inland empire,2010,chevrolet,3,8,gas,93555,clean,automatic,rwd,full-size,truck,white,ca,21419.0
209,209,ft myers / SW florida,2011,toyota,2,4,gas,24780,salvage,automatic,fwd,mid-size,sedan,black,fl,4201.0
210,210,san antonio,2012,jeep,2,6,gas,85714,clean,automatic,rwd,full-size,SUV,black,tx,7317.0
211,211,inland empire,1973,chevrolet,3,8,gas,-1,clean,manual,rwd,full-size,coupe,black,ca,6335.0
212,212,billings,2010,jeep,3,6,gas,139878,clean,automatic,4wd,full-size,SUV,silver,mt,4382.0
213,213,spokane / coeur d'alene,2003,ram,2,6,diesel,89844,clean,automatic,4wd,full-size,pickup,black,,16259.0
214,214,"washington, DC",2011,chevrolet,2,4,gas,96418,clean,automatic,fwd,mid-size,sedan,black,dc,7539.0
215,215,chicago,2012,subaru,2,6,gas,195098,clean,automatic,4wd,mid-size,SUV,black,,10050.0
216,216,tallahassee,2012,volkswagen,3,4,gas,157679,clean,other,fwd,full-size,sedan,blue,,6874.0
217,217,prescott,2010,toyota,2,4,gas,253321,rebuilt,automatic,fwd,compact,hatchback,silver,az,4821.0
218,218,"washington, DC",2012,jeep,3,4,gas,115650,clean,other,fwd,mid-size,sedan,blue,,8481.0
219,219,texoma,1980,ford,3,6,gas,83832,clean,manual,rwd,full-size,coupe,brown,ok,13481.0
220,220,memphis,2014,chevrolet,2,6,gas,157756,clean,automatic,fwd,full-size,sedan,silver,tn,22134.0
221,221,des moines,2018,toyota,2,4,gas,324772,clean,manual,fwd,compact,hatchback,silver,,10717.0
222,222,youngstown,2005,ford,1,4,gas,150876,clean,automatic,fwd,mid-size,convertible,blue,oh,12125.0
223,223,east oregon,2009,ford,3,6,,160230,clean,manual,4wd,mid-size,truck,white,or,20864.0
224,224,inland empire,2013,chevrolet,3,8,diesel,124485,clean,automatic,4wd,full-size,truck,black,ca,6252.0
225,225,cape cod / islands,2017,ford,2,8,diesel,104129,clean,automatic,4wd,full-size,pickup,white,ma,13295.0
226,226,colorado springs,2009,chevrolet,2,4,gas,154975,clean,automatic,4wd,full-size,SUV,black,co,27073.0
227,227,rapid city / west SD,1990,ford,3,6,gas,229486,clean,automatic,4wd,full-size,SUV,black,sd,5192.0
228,228,hickory / lenoir,2008,ford,1,4,gas,37650,clean,automatic,rwd,mid-size,SUV,white,nc,18391.0
229,229,florence,2014,saturn,1,4,gas,94756,clean,automatic,fwd,compact,sedan,silver,,7229.0
230,230,raleigh / durham / CH,2014,ford,2,6,gas,6189,clean,automatic,4wd,mid-size,SUV,blue,,36030.0
231,231,"washington, DC",2010,chevrolet,2,4,gas,107352,clean,automatic,fwd,compact,sedan,black,dc,5803.0
232,232,tucson,2006,honda,4,6,gas,128288,clean,automatic,fwd,full-size,sedan,blue,az,6455.0
233,233,ventura county,2014,volkswagen,2,4,gas,73132,clean,automatic,fwd,mid-size,sedan,silver,ca,8971.0
234,234,duluth / superior,2008,bmw,2,4,gas,127188,clean,automatic,fwd,mid-size,sedan,black,mn,6413.0
235,235,yakima,2011,mazda,2,4,gas,93086,clean,manual,fwd,mid-size,other,silver,wa,8695.0
236,236,denver,2009,infiniti,4,8,gas,152621,clean,automatic,fwd,full-size,SUV,silver,co,6917.0
237,237,philadelphia,2011,chevrolet,3,6,gas,42491,clean,automatic,rwd,full-size,coupe,white,,28449.0
238,238,south bend / michiana,2010,ford,2,4,gas,162021,clean,automatic,fwd,mid-size,sedan,red,in,3106.0
239,239,denver,2007,honda,2,4,gas,162557,clean,other,fwd,mid-size,SUV,blue,co,3420.0
240,240,lansing,2016,ford,4,6,diesel,69132,clean,automatic,4wd,full-size,pickup,blue,mi,19306.0
241,241,east idaho,2008,ram,2,6,diesel,41559,clean,automatic,4wd,full-size,truck,black,id,23884.0
242,242,albany,2015,mercedes-benz,2,1,gas,84440,rebuilt,manual,rwd,full-size,coupe,black,ny,22409.0
243,243,norfolk / hampton roads,1983,ford,2,4,gas,124541,clean,automatic,fwd,mid-size,sedan,black,va,5518.0
244,244,san antonio,1984,ford,4,6,gas,106333,missing,manual,rwd,full-size,coupe,red,tx,3705.0
245,245,columbus,2016,mitsubishi,2,4,,60116,clean,automatic,fwd,compact,coupe,white,,26479.0
246,246,rhode island,2007,chevrolet,2,6,gas,111239,clean,manual,4wd,mid-size,SUV,silver,ri,9149.0
247,247,madison,2011,ford,3,6,gas,202730,clean,automatic,fwd,full-size,SUV,blue,wi,6783.0
248,248,baltimore,2013,ram,2,8,gas,5661,clean,automatic,rwd,full-size,truck,white,md,37627.0
249,249,tucson,2012,kia,2,4,gas,133023,clean,automatic,fwd,compact,sedan,blue,az,16127.0
