id,section,round,home_team,away_team,weather,temperature,humidity,broadcasters,attendance,capacity_y,is_next_day_holiday,is_this_day_holiday,kick_off_time_is_night,x,y
9214,3,1,千葉,福岡,曇のち雨,13.9,58.0,J SPORTS,8567.0,19470,0,0,1,35.574673,140.12413
9215,3,1,横浜FM,C大阪,雨,12.3,76.0,BS-i/J SPORTS(録),19307.0,72081,0,0,1,35.51012,139.606674
9216,3,1,G大阪,大分,雨,9.0,79.0,BS/J SPORTS(録),8388.0,21000,0,0,1,34.812466,135.540421
9217,4,1,鹿島,甲府,晴,15.3,24.0,BS-i/J SPORTS(録),14815.0,37496,0,1,0,35.989033,140.64299
9218,4,1,福岡,名古屋,曇のち雨,12.5,47.0,NHK福岡/NHK名古屋/J SPORTS(録),8585.0,22331,0,1,0,33.586304,130.461426
9219,4,1,浦和,C大阪,晴,16.5,25.0,BS/テレビ埼玉(録)/J SPORTS(録),43815.0,62010,0,1,0,35.902477,139.713974
9220,4,1,新潟,磐田,曇,7.3,43.0,新潟テレビ21/J SPORTS(録),37585.0,41684,0,1,0,37.882988,139.059891
9221,4,1,清水,千葉,晴,13.9,32.0,テレビ静岡/J SPORTS(録),12114.0,20248,0,1,0,34.984898,138.482101
9222,4,1,大分,横浜FM,曇時々晴,13.4,50.0,J SPORTS,17341.0,31997,0,1,0,33.201115,131.656387
9223,4,1,川崎F,FC東京,晴,16.4,24.0,BS-i/J SPORTS(録),14191.0,26827,0,1,1,35.586826,139.648911
9224,4,1,京都,広島,晴,9.1,66.0,BS/KBS京都(録)/J SPORTS(録),5556.0,20588,0,1,1,34.993237,135.714676
9225,4,2,G大阪,大宮,曇,5.9,42.0,スカイパーフェクTV!/J SPORTS(録),9019.0,21000,0,0,1,34.812466,135.540421
9226,5,1,大宮,清水,晴,15.3,31.0,J SPORTS(録),7354.0,21500,0,0,0,35.869522,139.664871
9227,5,1,磐田,川崎F,晴,13.6,58.0,BS/J SPORTS(録),11835.0,15165,0,0,0,34.723106,137.877701
9228,5,1,C大阪,新潟,晴,12.8,30.0,スカイパーフェクTV!/J SPORTS(録),9442.0,47853,0,0,0,34.616272,135.516663
9229,5,1,広島,G大阪,晴,14.3,29.0,J SPORTS,13067.0,36894,0,0,0,34.439636,132.394974
9230,5,1,横浜FM,浦和,晴,13.9,45.0,TBS(単)/J SPORTS(録),50572.0,72081,0,0,0,35.51012,139.606674
9231,5,1,甲府,福岡,晴,11.4,46.0,BS-i/J SPORTS(録),8604.0,15859,0,0,1,35.62075,138.588425
9232,5,1,千葉,鹿島,晴,9.9,63.0,BS/J SPORTS(録),16546.0,19470,0,0,1,35.574673,140.12413
9233,5,2,名古屋,大分,晴,15.9,44.0,BS-i/中京テレビ(録)/J SPORTS(録),11878.0,20223,0,0,0,35.124908,136.941589
9234,5,2,FC東京,京都,曇,16.1,38.0,BS/KBS京都(録)/J SPORTS(録),17033.0,48999,0,0,1,35.66367,139.5289
9235,6,1,横浜FM,FC東京,晴,13.8,46.0,スカイパーフェクTV!/J SPORTS(録),20977.0,72081,0,0,0,35.51012,139.606674
9236,6,1,C大阪,甲府,曇,13.1,33.0,NHK甲府/BS/J SPORTS(録),6282.0,47853,0,0,0,34.616272,135.516663
9237,6,1,清水,G大阪,曇,10.0,64.0,BS/J SPORTS(録),10661.0,20248,0,0,1,34.984898,138.482101
9238,6,2,京都,福岡,雨,16.0,85.0,BS-i/KBS京都(録)/J SPORTS(録),3670.0,20588,0,0,0,34.993237,135.714676
9239,6,2,鹿島,大宮,曇のち雨,16.9,69.0,J SPORTS,11747.0,37496,0,0,0,35.989033,140.64299
9240,6,2,川崎F,千葉,雨,15.6,83.0,J SPORTS(録),10316.0,26827,0,0,0,35.586826,139.648911
9241,6,2,新潟,広島,雨,10.5,71.0,NHK新潟/J SPORTS(録),34071.0,41684,0,0,0,37.882988,139.059891
9242,6,2,大分,磐田,屋内,21.2,29.0,BS/J SPORTS(録),17406.0,31997,0,0,0,33.201115,131.656387
9243,6,2,浦和,名古屋,曇のち雨,15.9,79.0,テレビ埼玉/BS-i/J SPORTS(録),44625.0,62010,0,0,1,35.902477,139.713974
9244,7,1,甲府,新潟,曇,7.9,45.0,山梨放送/テレビ信州/テレビ新潟/J SPORTS(録),14599.0,20336,0,0,0,36.179623,137.917252
9245,7,1,大宮,横浜FM,晴,17.4,28.0,BS-i/J SPORTS(録),8370.0,21500,0,0,0,35.869522,139.664871
9246,7,1,千葉,C大阪,晴一時雨,14.8,53.0,スカイパーフェクTV!/J SPORTS(録),8770.0,19470,0,0,0,35.574673,140.12413
9247,7,1,名古屋,京都,屋内,13.9,37.0,BS/KBS京都(録)/J SPORTS(録),15311.0,41255,0,0,0,35.084568,137.171265
9248,7,1,広島,川崎F,晴,19.1,17.0,J SPORTS,7418.0,36894,0,0,0,34.439636,132.394974
9249,7,1,FC東京,磐田,晴,15.5,25.0,NHK総合/J SPORTS(録),24214.0,48999,0,0,1,35.66367,139.5289
9250,7,1,G大阪,鹿島,曇,12.9,31.0,BS/J SPORTS(録),17967.0,21000,0,0,1,34.812466,135.540421
9251,7,2,清水,大分,晴,18.6,37.0,静岡放送/BS-i/J SPORTS(録),10039.0,20248,0,0,0,34.984898,138.482101
9252,7,2,福岡,浦和,曇,20.3,28.0,BS/J SPORTS(録),21545.0,22331,0,0,0,33.586304,130.461426
9253,8,1,鹿島,清水,晴,10.4,51.0,スカイパーフェクTV!/J SPORTS(録),12361.0,37496,0,0,0,35.989033,140.64299
9254,8,1,浦和,京都,晴,13.8,35.0,BS-i/テレビ埼玉(録)/KBS京都(録)/J SPORTS(録),40657.0,62010,0,0,0,35.902477,139.713974
9255,8,1,C大阪,福岡,雨,12.5,71.0,BS/J SPORTS(録),10421.0,47853,0,0,0,34.616272,135.516663
9256,8,1,大分,甲府,屋内,10.6,87.0,NHK大分/NHK甲府/J SPORTS(録),15138.0,31997,0,0,0,33.201115,131.656387
9257,8,1,新潟,名古屋,晴時々曇,15.6,24.0,新潟総合テレビ/J SPORTS(録),39322.0,41684,0,0,0,37.882988,139.059891
9258,8,1,FC東京,千葉,晴,12.4,29.0,MXテレビ/J SPORTS,21190.0,48999,0,0,1,35.66367,139.5289
9259,8,1,横浜FM,G大阪,晴,10.7,36.0,BS/J SPORTS(録),28885.0,72081,0,0,1,35.51012,139.606674
9260,8,2,川崎F,大宮,曇,11.4,69.0,BS-i(録)/J SPORTS(録),11149.0,26827,0,0,0,35.586826,139.648911
9261,8,2,磐田,広島,晴,18.2,42.0,BS/J SPORTS(録),11788.0,15165,0,0,0,34.723106,137.877701
9262,9,1,名古屋,川崎F,曇,17.0,44.0,J SPORTS(録),11810.0,20223,0,0,0,35.124908,136.941589
9263,9,1,G大阪,FC東京,曇,15.8,42.0,スカイパーフェクTV!/J SPORTS(録),15103.0,21000,0,0,0,34.812466,135.540421
9264,9,1,大宮,大分,晴のち曇,18.3,28.0,J SPORTS(録),6162.0,21500,0,0,0,35.869522,139.664871
9265,9,1,千葉,磐田,晴,15.8,48.0,BS-i/J SPORTS(録),15184.0,19470,0,0,0,35.574673,140.12413
9266,9,1,京都,鹿島,曇,16.1,50.0,J SPORTS/KBS京都(録),12295.0,20588,0,0,0,34.993237,135.714676
9267,9,1,広島,C大阪,雨,10.1,83.0,BS/J SPORTS(録),6794.0,36894,0,0,0,34.439636,132.394974
9268,9,1,清水,浦和,曇,13.5,60.0,BS/J SPORTS(録),23406.0,51697,0,0,1,34.744198,137.969711
9269,9,2,甲府,横浜FM,曇,18.3,55.0,BS/J SPORTS(録),14615.0,15859,0,0,0,35.62075,138.588425
9270,9,2,福岡,新潟,晴,18.1,66.0,BS-i/RKB毎日放送(録)/J SPORTS(録),8667.0,22331,0,0,0,33.586304,130.461426
9271,1,1,鹿島,福岡,曇,18.8,53.0,J SPORTS(録),13450.0,37496,0,1,0,35.989033,140.64299
9272,1,1,浦和,大宮,曇一時雨,16.1,70.0,BS/テレビ埼玉(録)/J SPORTS(録),54774.0,62010,0,1,0,35.902477,139.713974
9273,1,1,川崎F,清水,雨のち曇,15.8,76.0,J SPORTS(録),13300.0,26827,0,1,0,35.586826,139.648911
9274,1,1,横浜FM,広島,曇,16.3,78.0,BS-i/J SPORTS(録),20232.0,72081,0,1,0,35.51012,139.606674
9275,1,1,C大阪,京都,晴,17.8,48.0,スカイパーフェクTV!/J SPORTS(録),20268.0,47853,0,1,0,34.616272,135.516663
9276,1,1,大分,千葉,晴のち曇,21.6,61.0,J SPORTS,20543.0,31997,0,1,0,33.201115,131.656387
9277,1,1,FC東京,名古屋,曇,15.2,70.0,BS/J SPORTS(録),22188.0,48999,0,1,1,35.66367,139.5289
9278,1,2,磐田,甲府,晴,21.8,63.0,静岡放送/テレビ山梨/BS-i/J SPORTS(録),14642.0,15165,0,0,0,34.723106,137.877701
9279,1,2,新潟,G大阪,雨,19.3,42.0,BS/J SPORTS(録),41430.0,41684,0,0,0,37.882988,139.059891
9280,1,1,甲府,FC東京,晴,22.4,31.0,NHK甲府/BS-i/J SPORTS(録),15427.0,15859,1,1,0,35.62075,138.588425
9281,1,1,鹿島,大分,晴,15.8,46.0,BS/J SPORTS(録),22948.0,37496,1,1,0,35.989033,140.64299
9282,1,1,清水,C大阪,晴のち曇,17.8,51.0,テレビ静岡/スカイパーフェクTV!/J SPORTS(録),18241.0,20248,1,1,0,34.984898,138.482101
9283,1,1,京都,新潟,晴,22.8,27.0,KBS京都/J SPORTS,11221.0,20588,1,1,0,34.993237,135.714676
9284,1,1,福岡,川崎F,晴,17.1,54.0,J SPORTS(録),11101.0,22331,1,1,0,33.586304,130.461426
9285,1,1,大宮,広島,晴,17.3,36.0,テレビ埼玉/BS-i/J SPORTS(録),9031.0,21500,1,1,1,35.869522,139.664871
9286,1,1,千葉,浦和,晴,14.4,48.0,NHK総合/BS/J SPORTS(録),17438.0,19470,1,1,1,35.574673,140.12413
9287,1,1,名古屋,横浜FM,晴,14.5,67.0,BS/J SPORTS(録),25687.0,41255,1,1,1,35.084568,137.171265
9288,1,2,G大阪,磐田,雨のち曇,26.9,95.0,BS/J SPORTS(録),15343.0,20261,0,0,1,36.57584,136.605255
9289,1,1,FC東京,大宮,晴,23.2,45.0,BS/J SPORTS(録),25128.0,48999,0,0,0,35.66367,139.5289
9290,1,1,横浜FM,千葉,晴,22.2,50.0,TBS(単)/J SPORTS(録),32073.0,72081,0,0,0,35.51012,139.606674
9291,1,1,磐田,名古屋,曇,20.0,60.0,NHK静岡/J SPORTS,36376.0,51697,0,0,0,34.744198,137.969711
9292,1,1,大分,京都,屋内,21.3,68.0,スカイパーフェクTV!/J SPORTS(録),21874.0,31997,0,0,0,33.201115,131.656387
9293,1,1,広島,福岡,雨,16.4,94.0,BS-i/J SPORTS(録),12466.0,36894,0,0,1,34.439636,132.394974
9294,1,1,新潟,清水,晴時々曇,17.3,66.0,BS/J SPORTS(録),42056.0,41684,0,0,1,37.882988,139.059891
9295,1,1,G大阪,甲府,曇のち雨,21.4,42.0,BS-i/J SPORTS(録),18193.0,21000,0,0,1,34.812466,135.540421
9296,1,2,浦和,鹿島,雨,19.6,79.0,TBS(単)/J SPORTS(録),56982.0,62010,0,0,0,35.902477,139.713974
9297,1,2,川崎F,C大阪,雨一時曇,18.9,82.0,BS/J SPORTS(録),9430.0,26827,0,0,0,35.586826,139.648911
9298,1,1,鹿島,川崎F,曇,21.4,80.0,BS-i/J SPORTS(録),7427.0,37496,0,0,1,35.989033,140.64299
9299,1,1,大宮,磐田,曇,22.4,83.0,テレ玉/BS-i(録)/J SPORTS(録),5806.0,21500,0,0,1,35.869522,139.664871
9300,1,1,千葉,G大阪,曇,21.4,85.0,BS/J SPORTS(録),15322.0,19470,0,0,1,35.574673,140.12413
9301,1,1,甲府,京都,曇,22.3,83.0,J SPORTS(録),8025.0,15859,0,0,1,35.62075,138.588425
9302,1,1,新潟,浦和,晴,23.5,76.0,J SPORTS,38592.0,41684,0,0,1,37.882988,139.059891
9303,1,1,清水,横浜FM,曇,22.6,79.0,スカイパーフェクTV!/J SPORTS(録),10183.0,20248,0,0,1,34.984898,138.482101
9304,1,1,名古屋,広島,晴,26.5,64.0,東海テレビ(録)/J SPORTS(録),6760.0,20223,0,0,1,35.124908,136.941589
9305,1,1,C大阪,大分,曇,24.6,79.0,J SPORTS(録),6806.0,47853,0,0,1,34.616272,135.516663
9306,1,1,福岡,FC東京,雨,23.2,96.0,MXテレビ/J SPORTS(録),12142.0,22331,0,0,1,33.586304,130.461426
9307,1,1,FC東京,鹿島,晴,25.1,54.0,MXテレビ/J SPORTS(録),17070.0,20336,0,0,1,36.179623,137.917252
9308,1,1,広島,千葉,晴,24.6,87.0,J SPORTS,13432.0,36894,0,0,1,34.439636,132.394974
9309,1,1,大宮,甲府,曇,24.5,80.0,J SPORTS(録),7493.0,21500,0,0,1,35.869522,139.664871
9310,1,1,川崎F,浦和,曇,24.4,77.0,BS/J SPORTS(録),23005.0,26827,0,0,1,35.586826,139.648911
9311,1,1,磐田,C大阪,曇,25.1,75.0,スカイパーフェクTV!/静岡放送(録)/J SPORTS(録),13524.0,15165,0,0,1,34.723106,137.877701
9312,1,1,G大阪,名古屋,曇,26.7,75.0,BS-i/J SPORTS(録),17864.0,21000,0,0,1,34.812466,135.540421
9313,1,1,大分,新潟,曇のち雨のち屋内,26.1,80.0,J SPORTS(録),19304.0,31997,0,0,1,33.201115,131.656387
9314,1,2,横浜FM,福岡,曇一時雨,24.8,84.0,BS-i/J SPORTS(録),19223.0,72081,0,0,1,35.51012,139.606674
9315,1,2,京都,清水,雨,22.8,98.0,BS/KBS京都(録)/テレビ静岡(録)/J SPORTS(録),9005.0,20588,0,0,1,34.993237,135.714676
9316,1,1,浦和,大分,晴,28.3,68.0,テレ玉/BS-i/J SPORTS(録),16040.0,21500,0,0,1,35.869522,139.664871
9317,1,1,川崎F,G大阪,晴,26.8,74.0,J SPORTS,20425.0,26827,0,0,1,35.586826,139.648911
9318,1,1,新潟,鹿島,晴,24.5,73.0,スカイパーフェクTV!/J SPORTS(録),39278.0,41684,0,0,1,37.882988,139.059891
9319,1,1,磐田,横浜FM,晴,25.8,79.0,BS/J SPORTS(録),12875.0,15165,0,0,1,34.723106,137.877701
9320,1,1,名古屋,大宮,晴,30.4,66.0,J SPORTS(録),6618.0,20223,0,0,1,35.124908,136.941589
9321,1,1,京都,千葉,晴,30.5,74.0,KBS京都/J SPORTS(録),13225.0,20588,0,0,1,34.993237,135.714676
9322,1,1,C大阪,FC東京,晴,28.8,83.0,BS-i(録)/J SPORTS(録),8027.0,47853,0,0,1,34.616272,135.516663
9323,1,1,広島,甲府,曇一時雨,25.0,89.0,J SPORTS(録),5545.0,36894,0,0,1,34.439636,132.394974
9324,1,1,福岡,清水,晴,28.3,78.0,J SPORTS(録),13655.0,22331,0,0,1,33.586304,130.461426
9325,1,1,大宮,京都,曇,29.8,51.0,テレ玉/KBS京都/J SPORTS(録),7278.0,15002,0,0,1,36.166973,139.404068
9326,1,1,FC東京,広島,曇,27.7,72.0,MXテレビ/スカイパーフェクTV!/J SPORTS(録),31684.0,48999,0,0,1,35.66367,139.5289
9327,1,1,甲府,浦和,曇,28.1,62.0,J SPORTS,17000.0,15859,0,0,1,35.62075,138.588425
9328,1,1,鹿島,C大阪,曇,24.1,88.0,BS/J SPORTS(録),14289.0,37496,0,0,1,35.989033,140.64299
9329,1,1,清水,磐田,曇,28.0,65.0,BS-i/静岡放送(録)/J SPORTS(録),24920.0,51697,0,0,1,34.744198,137.969711
9330,1,1,G大阪,福岡,晴,27.3,75.0,J SPORTS(録),14621.0,21000,0,0,1,34.812466,135.540421
9331,1,1,大分,川崎F,晴,29.6,73.0,J SPORTS(録),20873.0,31997,0,0,1,33.201115,131.656387
9332,1,2,千葉,名古屋,晴,22.8,74.0,BS-i/J SPORTS(録),16961.0,19470,0,0,1,35.574673,140.12413
9333,1,2,横浜FM,新潟,曇,24.7,59.0,BS/J SPORTS(録),24032.0,72081,0,0,1,35.51012,139.606674
9334,1,1,広島,清水,晴,27.3,82.0,J SPORTS(録),10569.0,36894,0,0,1,34.439636,132.394974
9335,1,1,浦和,FC東京,晴,24.1,88.0,テレ玉/BS-i/MXテレビ(録)/J SPORTS(録),50195.0,62010,0,0,1,35.902477,139.713974
9336,1,1,川崎F,横浜FM,曇,24.1,81.0,BS-i(録)/J SPORTS(録),20144.0,26827,0,0,1,35.586826,139.648911
9337,1,1,新潟,千葉,晴,27.2,59.0,J SPORTS(録),41487.0,41684,0,0,1,37.882988,139.059891
9338,1,1,磐田,鹿島,曇,24.9,80.0,スカイパーフェクTV!/J SPORTS(録),30353.0,51697,0,0,1,34.744198,137.969711
9339,1,1,名古屋,甲府,曇,27.1,73.0,J SPORTS(録),12454.0,20223,0,0,1,35.124908,136.941589
9340,1,1,京都,G大阪,晴,27.3,76.0,KBS京都/スカイパーフェクTV!/J SPORTS(録),16089.0,20588,0,0,1,34.993237,135.714676
9341,1,1,C大阪,大宮,晴,29.4,69.0,J SPORTS(録),12616.0,47853,0,0,1,34.616272,135.516663
9342,1,1,福岡,大分,晴,28.7,75.0,BS/J SPORTS(録),18205.0,22331,0,0,1,33.586304,130.461426
9343,1,1,鹿島,浦和,曇,27.8,82.0,BS/J SPORTS(録),34236.0,37496,0,0,1,35.989033,140.64299
9344,1,1,大宮,G大阪,晴,30.4,66.0,テレ玉/BS-i/J SPORTS(録),11355.0,21500,0,0,1,35.869522,139.664871
9345,1,1,新潟,川崎F,晴,29.8,83.0,J SPORTS,38611.0,41684,0,0,1,37.882988,139.059891
9346,1,1,清水,甲府,晴,27.4,80.0,静岡放送(録)/J SPORTS(録),15410.0,20248,0,0,1,34.984898,138.482101
9347,1,1,名古屋,磐田,晴,28.4,80.0,中部日本放送(録)/J SPORTS(録),14392.0,20223,0,0,1,35.124908,136.941589
9348,1,1,C大阪,横浜FM,曇,30.6,66.0,スカイパーフェクTV!/J SPORTS(録),18609.0,47853,0,0,1,34.616272,135.516663
9349,1,1,福岡,京都,曇,24.4,84.0,J SPORTS(録),10387.0,22331,0,0,1,33.586304,130.461426
9350,1,2,広島,大分,晴,27.9,82.0,BS-i/J SPORTS(録),10145.0,36894,0,0,1,34.439636,132.394974
9351,1,2,千葉,FC東京,晴,27.3,89.0,BS/J SPORTS(録),17261.0,19470,0,0,1,35.574673,140.12413
9352,1,1,浦和,新潟,晴,27.6,84.0,テレ玉/BS-i(録)/J SPORTS(録),34417.0,62010,0,0,1,35.902477,139.713974
9353,1,1,FC東京,福岡,曇,28.6,64.0,MXテレビ/J SPORTS(録),18533.0,54224,0,0,1,35.678047,139.714859
9354,1,1,川崎F,名古屋,曇,28.8,67.0,J SPORTS(録),11306.0,26827,0,0,1,35.586826,139.648911
9355,1,1,横浜FM,大宮,曇,27.1,80.0,BS-i(録)/J SPORTS(録),11623.0,15440,0,0,1,35.470428,139.602768
9356,1,1,甲府,鹿島,曇,27.3,76.0,J SPORTS,12115.0,15859,0,0,1,35.62075,138.588425
9357,1,1,磐田,千葉,曇,27.6,81.0,スカイパーフェクTV!/J SPORTS(録),11992.0,15165,0,0,1,34.723106,137.877701
9358,1,1,京都,C大阪,晴,27.5,61.0,KBS京都/J SPORTS(録),11291.0,20588,0,0,1,34.993237,135.714676
9359,1,1,G大阪,広島,晴,27.4,55.0,BS/J SPORTS(録),17826.0,21000,0,0,1,34.812466,135.540421
9360,1,1,大分,清水,晴,29.3,70.0,J SPORTS(録),18864.0,31997,0,0,1,33.201115,131.656387
9361,2,1,大宮,川崎F,曇,25.5,72.0,スカイパーフェクTV!/J SPORTS(録),9076.0,15002,0,0,1,36.166973,139.404068
9362,2,1,鹿島,広島,曇,26.0,64.0,J SPORTS(録),14052.0,37496,0,0,1,35.989033,140.64299
9363,2,1,甲府,磐田,雨,25.1,75.0,J SPORTS(録),14227.0,15859,0,0,1,35.62075,138.588425
9364,2,1,新潟,大分,晴,27.0,62.0,BS/J SPORTS(録),40466.0,41684,0,0,1,37.882988,139.059891
9365,2,1,清水,FC東京,曇,26.8,58.0,J SPORTS,16177.0,20248,0,0,1,34.984898,138.482101
9366,2,1,C大阪,浦和,曇,29.3,69.0,BS-i/J SPORTS(録),23386.0,47853,0,0,1,34.616272,135.516663
9367,2,1,福岡,千葉,晴,26.6,86.0,RKB毎日放送(録)/J SPORTS(録),17738.0,22331,0,0,1,33.586304,130.461426
9368,2,2,名古屋,G大阪,曇,27.0,73.0,BS-i/名古屋テレビ(録)/J SPORTS(録),17556.0,20223,0,0,1,35.124908,136.941589
9369,2,2,京都,横浜FM,曇,26.3,89.0,BS/KBS京都(録)/J SPORTS(録),8886.0,20588,0,0,1,34.993237,135.714676
9370,2,1,千葉,川崎F,曇,24.2,82.0,J SPORTS(録),11433.0,19470,0,0,1,35.574673,140.12413
9371,2,1,鹿島,名古屋,曇,24.4,84.0,BS-i(録)/J SPORTS(録),9457.0,37496,0,0,1,35.989033,140.64299
9372,2,1,大宮,福岡,曇,25.9,68.0,テレ玉/J SPORTS(録),4873.0,21500,0,0,1,35.869522,139.664871
9373,2,1,FC東京,C大阪,曇,26.3,60.0,MXテレビ*/MXテレビ(録)/J SPORTS(録),21041.0,54224,0,0,1,35.678047,139.714859
9374,2,1,横浜FM,甲府,雨のち曇,25.1,74.0,BS-i/J SPORTS(録),12384.0,15440,0,0,1,35.470428,139.602768
9375,2,1,清水,京都,曇,26.7,83.0,J SPORTS(録),9249.0,20248,0,0,1,34.984898,138.482101
9376,2,1,G大阪,新潟,曇,26.1,63.0,スカイパーフェクTV!/J SPORTS(録),13979.0,21000,0,0,1,34.812466,135.540421
9377,2,1,広島,磐田,曇,25.4,80.0,J SPORTS,9513.0,36894,0,0,1,34.439636,132.394974
9378,2,1,大分,浦和,屋内,25.7,90.0,BS/J SPORTS(録),27843.0,31997,0,0,1,33.201115,131.656387
9379,2,1,横浜FM,川崎F,晴のち曇,29.3,68.0,NHK総合/J SPORTS(録),22769.0,72081,0,0,1,35.51012,139.606674
9380,2,1,広島,名古屋,曇,25.6,90.0,スカイパーフェクTV!/J SPORTS(録),9299.0,36894,0,0,1,34.439636,132.394974
9381,2,1,FC東京,甲府,曇,27.5,79.0,MXテレビ/J SPORTS(録),21382.0,48999,0,0,1,35.66367,139.5289
9382,2,1,千葉,清水,曇,26.2,86.0,BS-i/J SPORTS(録),13463.0,19470,0,0,1,35.574673,140.12413
9383,2,1,磐田,新潟,晴,27.0,90.0,J SPORTS(録),11471.0,15165,0,0,1,34.723106,137.877701
9384,2,1,G大阪,C大阪,晴,29.4,64.0,BS/毎日放送(録)/J SPORTS(録),20463.0,21000,0,0,1,34.812466,135.540421
9385,2,1,大分,福岡,屋内,25.8,86.0,J SPORTS,26841.0,31997,0,0,1,33.201115,131.656387
9386,2,2,鹿島,京都,晴,27.3,77.0,BS/J SPORTS(録),9142.0,37496,0,0,1,35.989033,140.64299
9387,2,2,大宮,浦和,晴,28.6,75.0,テレ玉/BS-i/J SPORTS(録),35059.0,62010,0,0,1,35.902477,139.713974
9388,2,1,京都,FC東京,曇,26.1,59.0,KBS京都(録)/MXテレビ(録)/J SPORTS(録),8440.0,20588,0,0,0,34.993237,135.714676
9389,2,1,大分,G大阪,曇時々晴のち屋内,26.3,88.0,NHK大分/スカイパーフェクTV!/J SPORTS(録),25384.0,31997,0,0,0,33.201115,131.656387
9390,2,1,清水,鹿島,曇,25.3,46.0,BS/NHK静岡(録)/J SPORTS(録),20800.0,54224,0,0,0,35.678047,139.714859
9391,2,1,浦和,広島,曇,21.3,76.0,テレ玉/BS-i/J SPORTS(録),39123.0,62010,0,0,1,35.902477,139.713974
9392,2,1,名古屋,新潟,曇,24.2,58.0,J SPORTS(録),9308.0,20223,0,0,1,35.124908,136.941589
9393,2,1,C大阪,千葉,晴,25.0,57.0,J SPORTS,19036.0,47853,0,0,1,34.616272,135.516663
9394,2,1,福岡,横浜FM,雨のち曇,23.1,88.0,BS/福岡放送(録)/J SPORTS(録),12519.0,22331,0,0,1,33.586304,130.461426
9395,2,2,川崎F,磐田,雨,21.3,88.0,BS/J SPORTS(録),15482.0,26827,1,0,1,35.586826,139.648911
