iter	Passed	Remaining
460	1565	15414
461	1568	15410
462	1572	15406
463	1575	15402
464	1578	15397
465	1582	15393
466	1585	15388
467	1588	15383
468	1591	15378
469	1595	15374
470	1598	15368
471	1602	15370
472	1605	15370
473	1609	15368
474	1613	15366
475	1616	15360
476	1619	15356
477	1622	15351
478	1626	15347
479	1628	15339
480	1632	15333
481	1635	15333
482	1639	15330
483	1642	15326
484	1645	15322
485	1649	15318
486	1652	15314
487	1655	15310
488	1659	15305
489	1662	15298
490	1665	15295
491	1668	15289
492	1671	15284
493	1675	15279
494	1678	15276
495	1681	15272
496	1685	15268
497	1688	15263
498	1691	15261
499	1695	15257
500	1698	15255
501	1702	15253
502	1706	15252
503	1709	15247
504	1712	15245
505	1716	15240
506	1719	15234
507	1722	15232
508	1725	15227
509	1729	15225
510	1732	15219
511	1735	15216
512	1739	15217
513	1743	15218
514	1747	15215
515	1750	15214
516	1754	15210
517	1757	15206
518	1761	15204
519	1764	15199
520	1767	15195
521	1770	15192
522	1774	15186
523	1777	15181
524	1780	15177
525	1783	15173
526	1787	15171
527	1790	15166
528	1794	15163
529	1797	15160
530	1800	15156
531	1804	15153
532	1807	15149
533	1810	15145
534	1813	15137
535	1816	15130
536	1819	15125
537	1823	15122
538	1826	15120
539	1829	15114
540	1833	15108
541	1836	15105
542	1840	15103
543	1843	15101
544	1847	15098
545	1850	15096
546	1854	15095
547	1857	15087
548	1860	15083
549	1863	15078
550	1866	15073
551	1870	15071
552	1873	15066
553	1876	15060
554	1879	15055
555	1882	15049
556	1886	15046
557	1890	15045
558	1893	15039
559	1896	15035
560	1899	15031
561	1903	15027
562	1906	15024
563	1909	15020
564	1913	15018
565	1916	15016
566	1920	15016
567	1923	15010
568	1927	15007
569	1930	15002
570	1933	14998
571	1937	14995
572	1940	14990
573	1943	14986
574	1946	14980
575	1949	14974
576	1952	14968
577	1956	14964
578	1959	14959
579	1962	14955
580	1965	14950
581	1968	14944
582	1972	14941
583	1975	14936
584	1978	14931
585	1981	14927
586	1985	14923
587	1988	14919
588	1991	14916
589	1995	14912
590	1998	14906
591	2001	14903
592	2004	14898
593	2007	14892
594	2011	14889
595	2014	14886
596	2017	14882
597	2021	14878
598	2024	14875
599	2027	14871
600	2030	14865
601	2034	14861
602	2037	14855
603	2040	14851
604	2043	14847
605	2047	14843
606	2050	14839
607	2053	14834
608	2056	14829
609	2059	14824
610	2063	14821
611	2066	14816
612	2069	14811
613	2073	14808
614	2076	14802
615	2079	14797
616	2082	14792
617	2085	14787
618	2088	14783
619	2091	14778
620	2095	14774
621	2098	14770
622	2101	14767
623	2105	14763
624	2108	14759
625	2111	14756
626	2114	14750
627	2118	14746
628	2121	14743
629	2124	14739
630	2128	14736
631	2131	14731
632	2134	14726
633	2138	14728
634	2141	14723
635	2145	14718
636	2148	14714
637	2151	14711
638	2154	14706
639	2157	14699
640	2161	14696
641	2164	14692
642	2167	14689
643	2171	14684
644	2174	14681
645	2177	14678
646	2181	14675
647	2184	14671
648	2187	14667
649	2191	14663
650	2194	14660
651	2197	14656
652	2201	14652
653	2204	14648
654	2207	14643
655	2210	14637
656	2213	14634
657	2217	14631
658	2220	14628
659	2224	14625
660	2227	14620
661	2230	14614
662	2233	14611
663	2236	14607
664	2240	14602
665	2243	14598
666	2246	14594
667	2249	14591
668	2253	14586
669	2256	14583
670	2259	14579
671	2263	14575
672	2266	14571
673	2269	14567
674	2272	14561
675	2276	14558
676	2279	14554
677	2282	14550
678	2285	14546
679	2289	14545
680	2292	14541
681	2296	14537
682	2299	14534
683	2302	14531
684	2306	14526
685	2309	14524
686	2313	14521
687	2316	14517
688	2319	14514
689	2322	14510
690	2326	14506
691	2329	14502
692	2333	14499
693	2336	14495
694	2339	14491
695	2343	14489
696	2346	14485
697	2349	14480
698	2352	14474
699	2355	14471
700	2359	14468
701	2362	14467
702	2366	14463
703	2369	14458
704	2372	14455
705	2376	14452
706	2379	14448
707	2382	14445
708	2386	14442
709	2389	14440
710	2393	14437
711	2396	14432
712	2399	14428
713	2403	14425
714	2406	14422
715	2409	14418
716	2413	14414
717	2416	14410
718	2419	14407
719	2423	14405
720	2426	14402
721	2430	14398
722	2433	14393
723	2436	14391
724	2440	14388
725	2443	14384
726	2446	14379
727	2449	14375
728	2453	14371
729	2456	14369
730	2459	14365
731	2462	14359
732	2466	14357
733	2469	14353
734	2472	14349
735	2476	14346
736	2479	14343
737	2483	14340
738	2486	14337
739	2489	14334
740	2493	14330
741	2496	14326
742	2499	14322
743	2502	14317
744	2506	14315
745	2509	14312
746	2513	14311
747	2517	14307
748	2520	14303
749	2523	14299
750	2526	14295
751	2532	14306
752	2536	14305
753	2540	14309
754	2545	14311
755	2549	14312
756	2553	14310
757	2557	14309
758	2560	14307
759	2564	14306
760	2567	14302
761	2570	14298
762	2574	14295
763	2577	14293
764	2581	14291
765	2584	14287
766	2588	14283
767	2591	14278
768	2594	14275
769	2597	14270
770	2601	14267
771	2604	14264
772	2607	14260
773	2610	14255
774	2614	14252
775	2617	14248
776	2620	14244
777	2624	14240
778	2627	14237
779	2631	14234
780	2634	14233
781	2638	14230
782	2641	14228
783	2645	14226
784	2648	14223
785	2652	14218
786	2655	14214
787	2658	14211
788	2662	14207
789	2665	14205
790	2669	14202
791	2672	14200
792	2675	14196
793	2679	14192
794	2682	14189
795	2685	14185
796	2689	14184
797	2693	14181
798	2696	14177
799	2699	14173
800	2703	14170
801	2706	14166
802	2709	14161
803	2712	14156
804	2715	14151
805	2719	14149
806	2722	14146
807	2725	14142
808	2729	14138
809	2732	14134
810	2735	14131
811	2739	14127
812	2742	14122
813	2745	14119
814	2748	14115
815	2752	14111
816	2755	14107
817	2758	14103
818	2761	14099
819	2765	14096
820	2768	14091
821	2771	14088
822	2775	14084
823	2778	14080
824	2781	14077
825	2784	14072
826	2788	14069
827	2791	14064
828	2794	14061
829	2798	14057
830	2801	14054
831	2804	14049
832	2808	14047
833	2811	14043
834	2814	14039
835	2818	14036
836	2821	14032
837	2824	14027
838	2827	14024
839	2831	14021
840	2834	14017
841	2838	14015
842	2841	14010
843	2844	14007
844	2848	14004
845	2851	14002
846	2855	13998
847	2858	13994
848	2861	13993
849	2865	13989
850	2868	13985
851	2871	13982
852	2875	13979
853	2878	13974
854	2882	13971
855	2885	13968
856	2888	13965
857	2892	13963
858	2896	13963
859	2899	13960
860	2903	13957
861	2906	13953
862	2910	13952
863	2914	13949
864	2917	13947
865	2920	13942
866	2924	13940
867	2928	13938
868	2931	13934
869	2934	13929
870	2937	13925
871	2940	13920
872	2943	13916
873	2947	13914
874	2950	13910
875	2953	13906
876	2957	13903
877	2960	13899
878	2963	13894
879	2967	13892
880	2970	13888
881	2973	13884
882	2977	13880
883	2980	13875
884	2983	13871
885	2986	13866
886	2989	13862
887	2993	13859
888	2996	13856
889	2999	13853
890	3003	13851
891	3006	13848
892	3009	13842
893	3013	13838
894	3016	13837
895	3020	13833
896	3023	13830
897	3026	13825
898	3030	13822
899	3033	13818
900	3036	13814
901	3039	13810
902	3042	13806
903	3046	13802
904	3049	13799
905	3053	13796
906	3056	13792
907	3060	13790
908	3063	13787
909	3067	13784
910	3070	13781
911	3073	13778
912	3076	13773
913	3080	13769
914	3083	13765
915	3086	13761
916	3090	13758
917	3093	13754
918	3096	13749
919	3099	13745
920	3102	13740
921	3105	13737
922	3109	13734
923	3112	13731
924	3116	13727
925	3119	13723
926	3123	13722
927	3126	13718
928	3129	13715
929	3133	13711
930	3136	13708
931	3139	13703
932	3142	13699
933	3146	13695
934	3149	13691
935	3152	13687
936	3155	13682
937	3158	13678
938	3161	13674
939	3165	13671
940	3168	13667
941	3171	13663
942	3174	13659
943	3178	13656
944	3181	13653
945	3185	13649
946	3188	13645
947	3191	13641
948	3194	13638
949	3198	13635
950	3201	13631
951	3204	13626
952	3208	13623
953	3211	13619
954	3214	13615
955	3217	13611
956	3221	13608
957	3224	13603
958	3227	13599
959	3230	13595
960	3234	13592
961	3237	13588
962	3240	13586
963	3244	13583
964	3247	13578
965	3250	13574
966	3253	13571
967	3257	13567
968	3260	13564
969	3263	13560
970	3267	13556
971	3270	13554
972	3274	13550
973	3277	13546
974	3280	13542
975	3283	13537
976	3286	13534
977	3290	13530
978	3293	13526
979	3296	13522
980	3299	13518
981	3302	13514
982	3306	13510
983	3309	13505
984	3312	13502
985	3315	13498
986	3319	13494
987	3322	13491
988	3325	13487
989	3329	13484
990	3332	13482
991	3336	13479
992	3339	13475
993	3342	13471
994	3345	13467
995	3349	13463
996	3352	13459
997	3355	13455
998	3358	13451
999	3361	13447
1000	3365	13443
1001	3368	13440
1002	3371	13436
1003	3374	13432
1004	3378	13428
1005	3381	13425
1006	3384	13422
1007	3388	13417
1008	3391	13413
1009	3394	13409
1010	3398	13407
1011	3401	13405
1012	3405	13402
1013	3408	13397
1014	3411	13395
1015	3415	13391
1016	3418	13387
1017	3421	13383
1018	3424	13379
1019	3427	13375
1020	3431	13372
1021	3434	13367
1022	3437	13364
1023	3441	13361
1024	3444	13358
1025	3448	13356
1026	3451	13352
1027	3454	13349
1028	3458	13345
1029	3461	13342
1030	3464	13338
1031	3468	13335
1032	3471	13331
1033	3475	13328
1034	3478	13325
1035	3481	13322
1036	3485	13318
1037	3488	13315
1038	3492	13315
1039	3495	13311
1040	3499	13308
1041	3502	13304
1042	3506	13302
1043	3509	13298
1044	3512	13294
1045	3516	13291
1046	3519	13287
1047	3522	13283
1048	3526	13280
1049	3529	13277
1050	3532	13273
1051	3536	13271
1052	3539	13267
1053	3542	13263
1054	3546	13260
1055	3549	13256
1056	3553	13254
1057	3556	13250
1058	3559	13247
1059	3563	13244
1060	3566	13242
1061	3570	13240
1062	3574	13238
1063	3577	13234
1064	3580	13230
1065	3583	13226
1066	3587	13223
1067	3590	13220
1068	3594	13217
1069	3598	13215
1070	3601	13213
1071	3605	13210
1072	3608	13208
1073	3612	13205
1074	3616	13203
1075	3620	13202
1076	3623	13200
1077	3627	13196
1078	3630	13193
1079	3634	13191
1080	3638	13189
1081	3641	13187
1082	3645	13183
1083	3648	13181
1084	3652	13178
1085	3655	13174
1086	3658	13169
1087	3661	13164
1088	3664	13160
1089	3667	13156
1090	3670	13151
1091	3673	13145
1092	3676	13140
1093	3679	13135
1094	3681	13130
1095	3684	13124
1096	3687	13119
1097	3690	13113
1098	3693	13108
1099	3695	13103
1100	3698	13098
1101	3701	13093
1102	3704	13088
1103	3707	13083
1104	3710	13079
1105	3713	13074
1106	3716	13069
1107	3719	13065
1108	3722	13059
1109	3725	13055
1110	3728	13050
1111	3731	13046
1112	3734	13041
1113	3737	13036
1114	3740	13031
1115	3743	13027
1116	3746	13022
1117	3748	13017
1118	3751	13012
1119	3754	13007
1120	3757	13002
1121	3760	12997
1122	3763	12992
1123	3766	12987
1124	3769	12982
1125	3772	12978
1126	3775	12974
1127	3778	12969
1128	3781	12964
1129	3783	12959
1130	3786	12954
1131	3789	12949
1132	3792	12944
1133	3795	12940
1134	3798	12935
1135	3801	12929
1136	3804	12925
1137	3807	12920
1138	3810	12915
1139	3812	12910
1140	3815	12905
1141	3818	12900
1142	3821	12895
1143	3824	12890
1144	3827	12885
1145	3830	12880
1146	3833	12875
1147	3836	12871
1148	3839	12867
1149	3842	12862
1150	3844	12857
1151	3848	12853
1152	3850	12848
1153	3853	12843
1154	3856	12838
1155	3859	12833
1156	3862	12828
1157	3865	12823
1158	3868	12820
1159	3871	12815
1160	3874	12811
1161	3877	12806
1162	3880	12801
1163	3882	12796
1164	3885	12791
1165	3888	12786
1166	3891	12781
1167	3894	12776
1168	3897	12771
1169	3900	12768
1170	3904	12766
1171	3907	12762
1172	3910	12757
1173	3913	12752
1174	3916	12749
1175	3919	12745
1176	3922	12741
1177	3925	12736
1178	3928	12731
1179	3931	12728
1180	3934	12723
1181	3937	12719
1182	3940	12714
1183	3943	12709
1184	3946	12705
1185	3949	12701
1186	3952	12696
1187	3955	12692
1188	3958	12687
1189	3961	12682
1190	3964	12677
1191	3966	12673
1192	3969	12668
1193	3972	12663
1194	3975	12658
1195	3978	12654
1196	3981	12649
1197	3984	12645
1198	3987	12640
1199	3990	12635
1200	3993	12631
1201	3996	12627
1202	3999	12622
1203	4002	12617
1204	4004	12612
1205	4007	12608
1206	4010	12604
1207	4013	12599
1208	4016	12595
1209	4019	12590
1210	4022	12585
1211	4025	12580
1212	4028	12576
1213	4031	12571
1214	4034	12566
1215	4037	12562
1216	4040	12558
1217	4043	12554
1218	4046	12551
1219	4050	12548
1220	4053	12545
1221	4056	12542
1222	4060	12540
1223	4064	12538
1224	4068	12536
1225	4071	12533
1226	4074	12530
1227	4078	12527
1228	4081	12524
1229	4085	12521
1230	4089	12520
1231	4093	12519
1232	4097	12517
1233	4100	12514
1234	4104	12513
1235	4108	12512
1236	4112	12510
1237	4116	12508
1238	4119	12505
1239	4123	12503
1240	4126	12500
1241	4130	12497
1242	4133	12494
1243	4137	12492
1244	4141	12490
1245	4144	12486
1246	4147	12483
1247	4151	12481
1248	4154	12478
1249	4158	12475
1250	4162	12473
1251	4165	12470
1252	4169	12468
1253	4173	12467
1254	4176	12464
1255	4180	12462
1256	4184	12460
1257	4188	12458
1258	4191	12455
1259	4195	12452
1260	4199	12451
1261	4202	12448
1262	4206	12446
1263	4210	12445
1264	4214	12442
1265	4217	12440
1266	4221	12436
1267	4224	12434
1268	4228	12431
1269	4231	12429
1270	4235	12427
1271	4239	12424
1272	4242	12421
1273	4246	12419
1274	4250	12417
1275	4253	12414
1276	4257	12412
1277	4260	12408
1278	4264	12405
1279	4267	12403
1280	4271	12400
1281	4274	12396
1282	4278	12393
1283	4281	12391
1284	4285	12388
1285	4288	12386
1286	4292	12384
1287	4296	12381
1288	4299	12378
1289	4303	12376
1290	4307	12374
1291	4310	12372
1292	4314	12370
1293	4318	12368
1294	4322	12366
1295	4325	12363
1296	4329	12360
1297	4332	12357
1298	4336	12354
1299	4339	12351
1300	4343	12348
1301	4346	12346
1302	4350	12343
1303	4353	12340
1304	4358	12339
1305	4361	12337
1306	4365	12334
1307	4368	12331
1308	4372	12330
1309	4376	12327
1310	4380	12325
1311	4383	12323
1312	4387	12320
1313	4391	12318
1314	4394	12316
1315	4398	12312
1316	4401	12310
1317	4406	12308
1318	4409	12306
1319	4413	12303
1320	4416	12300
1321	4420	12297
1322	4424	12295
1323	4427	12293
1324	4431	12290
1325	4434	12287
1326	4438	12284
1327	4442	12282
1328	4445	12279
1329	4448	12275
1330	4452	12273
1331	4455	12270
1332	4458	12266
1333	4462	12263
1334	4466	12261
1335	4470	12259
1336	4473	12256
1337	4477	12255
1338	4481	12253
1339	4485	12251
1340	4489	12248
1341	4492	12246
1342	4496	12244
1343	4500	12241
1344	4503	12239
1345	4507	12237
1346	4511	12234
1347	4514	12230
1348	4517	12226
1349	4521	12223
1350	4524	12220
1351	4527	12217
1352	4531	12213
1353	4534	12209
1354	4537	12205
1355	4540	12201
1356	4543	12197
1357	4547	12194
1358	4550	12191
1359	4553	12187
1360	4557	12186
1361	4561	12183
1362	4564	12180
1363	4568	12177
1364	4571	12174
1365	4575	12172
1366	4579	12169
1367	4582	12167
1368	4586	12164
1369	4589	12160
1370	4592	12157
1371	4596	12153
1372	4599	12150
1373	4603	12148
1374	4606	12144
1375	4610	12142
1376	4614	12142
1377	4629	12167
1378	4634	12169
1379	4639	12170
1380	4645	12174
1381	4650	12174
1382	4654	12173
1383	4659	12174
1384	4664	12174
1385	4669	12175
1386	4674	12175
1387	4679	12176
1388	4683	12176
1389	4688	12176
1390	4692	12175
1391	4697	12175
1392	4702	12176
1393	4707	12176
1394	4711	12176
1395	4717	12178
1396	4722	12180
1397	4728	12182
1398	4732	12182
1399	4737	12181
1400	4742	12181
1401	4746	12180
1402	4751	12180
1403	4755	12180
1404	4760	12179
1405	4764	12178
1406	4768	12177
1407	4772	12175
1408	4777	12174
1409	4781	12173
1410	4785	12172
1411	4789	12170
1412	4793	12169
1413	4797	12167
1414	4801	12166
1415	4806	12164
1416	4810	12163
1417	4814	12160
1418	4818	12159
1419	4822	12157
1420	4826	12157
1421	4831	12157
1422	4836	12157
1423	4841	12157
1424	4845	12155
1425	4850	12157
1426	4855	12157
1427	4859	12156
1428	4864	12155
1429	4869	12155
1430	4873	12154
1431	4877	12151
1432	4881	12149
1433	4884	12147
1434	4888	12145
1435	4892	12142
1436	4896	12141
1437	4901	12142
1438	4906	12141
1439	4910	12139
1440	4915	12139
1441	4920	12139
1442	4924	12138
1443	4928	12137
1444	4933	12136
1445	4937	12135
1446	4942	12135
1447	4947	12135
1448	4951	12134
1449	4956	12134
1450	4961	12134
1451	4965	12133
1452	4970	12132
1453	4974	12131
1454	4977	12128
1455	4981	12125
1456	4986	12124
1457	4990	12122
1458	4993	12120
1459	4997	12117
1460	5001	12115
1461	5005	12112
1462	5009	12110
1463	5013	12108
1464	5017	12106
1465	5020	12103
1466	5024	12101
1467	5028	12098
1468	5032	12096
1469	5035	12092
1470	5039	12090
1471	5043	12088
1472	5047	12085
1473	5051	12082
1474	5054	12080
1475	5058	12076
1476	5061	12073
1477	5064	12069
1478	5068	12065
1479	5071	12062
1480	5074	12057
1481	5078	12054
1482	5081	12051
1483	5084	12047
1484	5088	12043
1485	5091	12040
1486	5094	12036
1487	5098	12032
1488	5101	12029
1489	5104	12025
1490	5108	12022
1491	5111	12017
1492	5114	12014
1493	5118	12010
1494	5121	12006
1495	5124	12002
1496	5127	11998
1497	5130	11994
1498	5134	11991
1499	5137	11987
1500	5141	11984
1501	5144	11980
1502	5148	11978
1503	5151	11974
1504	5154	11970
1505	5157	11966
1506	5161	11962
1507	5164	11959
1508	5168	11956
1509	5171	11951
1510	5174	11948
1511	5177	11944
1512	5180	11940
1513	5184	11936
1514	5187	11933
1515	5191	11930
1516	5194	11926
1517	5197	11922
1518	5201	11919
1519	5204	11915
1520	5208	11912
1521	5211	11908
1522	5214	11904
1523	5217	11900
1524	5220	11896
1525	5224	11893
1526	5227	11889
1527	5230	11885
1528	5234	11881
1529	5237	11877
1530	5240	11873
1531	5243	11869
1532	5246	11865
1533	5250	11862
1534	5253	11858
1535	5256	11855
1536	5260	11851
1537	5263	11847
1538	5266	11844
1539	5269	11839
1540	5272	11835
1541	5275	11830
1542	5278	11826
1543	5281	11822
1544	5284	11817
1545	5287	11813
1546	5290	11808
1547	5293	11804
1548	5296	11799
1549	5299	11795
1550	5302	11790
1551	5305	11786
1552	5308	11782
1553	5311	11777
1554	5314	11773
1555	5316	11768
1556	5319	11763
1557	5322	11758
1558	5325	11754
1559	5328	11750
1560	5331	11745
1561	5334	11741
1562	5337	11736
1563	5340	11732
1564	5343	11728
1565	5346	11723
1566	5349	11718
1567	5352	11714
1568	5354	11709
1569	5357	11704
1570	5360	11700
1571	5363	11695
1572	5366	11690
1573	5369	11686
1574	5372	11682
1575	5375	11678
1576	5378	11673
1577	5381	11669
1578	5384	11666
1579	5388	11662
1580	5391	11658
1581	5393	11653
1582	5396	11649
1583	5400	11645
1584	5403	11641
1585	5406	11637
1586	5409	11633
1587	5412	11628
1588	5415	11624
1589	5418	11619
1590	5420	11615
1591	5423	11610
1592	5426	11606
1593	5429	11601
1594	5432	11598
1595	5435	11593
1596	5438	11589
1597	5441	11584
1598	5444	11580
1599	5447	11576
1600	5450	11571
1601	5453	11567
1602	5456	11563
1603	5459	11558
1604	5462	11554
1605	5465	11550
1606	5468	11545
1607	5470	11540
1608	5473	11535
1609	5476	11531
1610	5479	11527
1611	5482	11523
1612	5485	11518
1613	5488	11514
1614	5491	11510
1615	5494	11506
1616	5497	11501
1617	5500	11496
1618	5503	11492
1619	5506	11488
1620	5509	11484
1621	5512	11480
1622	5515	11476
1623	5518	11472
1624	5521	11468
1625	5524	11463
1626	5527	11459
1627	5530	11455
1628	5533	11450
1629	5536	11446
1630	5538	11441
1631	5541	11437
1632	5544	11432
1633	5547	11427
1634	5550	11423
1635	5553	11418
1636	5556	11414
1637	5559	11410
1638	5562	11406
1639	5565	11401
1640	5568	11399
1641	5572	11396
1642	5576	11393
1643	5579	11390
1644	5583	11386
1645	5586	11383
1646	5589	11380
1647	5593	11376
1648	5597	11374
1649	5600	11370
1650	5603	11367
1651	5607	11364
1652	5610	11360
1653	5613	11356
1654	5617	11353
1655	5620	11349
1656	5623	11346
1657	5627	11343
1658	5630	11339
1659	5634	11336
1660	5637	11332
1661	5640	11329
1662	5644	11325
1663	5647	11321
1664	5650	11317
1665	5653	11314
1666	5657	11310
1667	5660	11307
1668	5664	11304
1669	5667	11300
1670	5670	11297
1671	5674	11294
1672	5677	11290
1673	5681	11287
1674	5684	11284
1675	5688	11281
1676	5691	11277
1677	5694	11274
1678	5698	11271
1679	5701	11267
1680	5704	11263
1681	5707	11259
1682	5710	11255
1683	5714	11252
1684	5717	11248
1685	5720	11244
1686	5723	11241
1687	5727	11237
1688	5730	11233
1689	5733	11230
1690	5737	11226
1691	5740	11223
1692	5743	11219
1693	5747	11216
1694	5750	11212
1695	5753	11208
